word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
lifelong learning,n. phr.,Rapid changes at work make lifelong learning a necessity rather than a choice.,promote lifelong learning; a culture of lifelong learning; commit to lifelong learning,life(一生) + long(那麼長) → 學習持續一輩子,continuous education; ongoing study; adult learning,高頻話題字,教育,passive,終身學習,
attainment,n.,Educational attainment still depends heavily on family income.,educational attainment; attainment levels; raise attainment,"at-(朝向) + tain(持有, 同 contain/maintain/obtain) + -ment → 伸手拿到的程度",achievement; accomplishment; performance,高頻話題字,教育,passive,學習成就,
automation,n.,Automation has replaced many routine tasks in warehouses.,increasing automation; workplace automation; the automation of tasks,"auto(自己, 同 automatic/autonomy) + mat(動, 同 automaton) + -ion → 自己會動",mechanisation; computerisation; robotisation,高頻話題字,科技,passive,自動化,
algorithm,n.,The recommendation algorithm decides what most users see first.,a recommendation algorithm; tweak the algorithm; algorithms decide,源自波斯數學家 al-Khwārizmī 的名字拉丁化 → 一套計算步驟,procedure; formula; set of rules,高頻話題字,科技,passive,演算法,
artificial intelligence,n. phr.,Artificial intelligence is already used to screen job applications.,advances in artificial intelligence; regulate artificial intelligence; artificial intelligence systems,"arti(技藝, 同 art/artisan) + fic(製造, 同 factory/fiction) → 人造的 + 智能",AI; machine intelligence; computer intelligence,高頻話題字,科技,passive,人工智慧,
cybersecurity,n.,Hospitals have had to invest heavily in cybersecurity after recent attacks.,invest in cybersecurity; a cybersecurity breach; cybersecurity measures,"cyber(控制, 希臘 kybernan 掌舵, 同 govern) + security → 網路空間的防護",online security; information security; data protection,高頻話題字,科技,passive,網路資安,
innovation,n.,Tax breaks are meant to encourage innovation in small firms.,technological innovation; drive innovation; a major innovation,"in-(進入) + nov(新, 同 novel/novice/renew) + -ation → 把新東西帶進來",breakthrough; advance; new development,高頻話題字,科技,passive,創新,
obsolete,adj.,Video rental shops became obsolete almost overnight.,become obsolete; technically obsolete; render obsolete,"ob-(離開) + sol(習慣, 拉丁 solere) → 不再被使用習慣留著 → 過時",outdated; out of date; superseded; no longer used,高頻話題字,科技,passive,過時的、淘汰的,
screen time,n. phr.,Parents are often advised to limit screen time before bed.,limit screen time; excessive screen time; daily screen time,screen(螢幕) + time → 盯著螢幕的時間,time spent on devices; device use,高頻話題字,科技,passive,螢幕使用時間,
misinformation,n.,Health misinformation spreads faster than corrections ever do.,spread misinformation; combat misinformation; online misinformation,"mis-(錯誤, 同 mistake/misuse) + information → 錯的資訊",false information; fake news; inaccurate claims,高頻話題字,科技,passive,錯誤資訊,
encryption,n.,End-to-end encryption means the provider cannot read your messages.,end-to-end encryption; strong encryption; encryption keys,"en-(進入) + crypt(隱藏, 同 cryptic/crypt 地窖) + -ion → 把訊息藏起來",encoding; scrambling; cipher protection,高頻話題字,科技,passive,加密,
digital divide,n. phr.,The pandemic exposed a digital divide between urban and rural pupils.,bridge the digital divide; widen the digital divide; a growing digital divide,"divide(分開, 同 division) → 數位科技造成的一道裂縫",technology gap; access inequality; digital gap,高頻話題字,科技,passive,數位落差,
user-friendly,adj.,The app succeeded because its interface was genuinely user-friendly.,a user-friendly interface; make it more user-friendly; user-friendly design,user(使用者) + friendly(友善) → 對使用者友善的,easy to use; intuitive; accessible; straightforward,高頻話題字,科技,passive,容易上手的,
streamline,v.,Digital forms have streamlined the whole application process.,streamline the process; streamline operations; streamline procedures,stream(水流) + line(線) → 做成水流的形狀 → 去掉阻力,simplify; make more efficient; rationalise,高頻話題字,科技,passive,簡化流程,
disrupt,v.,Streaming services disrupted the film industry within a decade.,disrupt an industry; disruptive technology; disrupt traditional retail,"dis-(分開) + rupt(破裂, 同 rupture/interrupt/erupt) → 把原本的樣子打破",upend; transform; shake up; overturn,高頻話題字,科技,passive,顛覆、打亂,
breakthrough,n.,Cheap battery storage was the breakthrough that made solar power viable.,a major breakthrough; a scientific breakthrough; achieve a breakthrough,break(打破) + through(穿過) → 突破一道擋牆,major advance; leap forward; milestone; development,高頻話題字,科技,passive,突破,
prototype,n.,The team built a working prototype in under three months.,build a prototype; an early prototype; test a prototype,"proto(最初, 同 protocol/protagonist) + type(型) → 最初的那個型",model; first version; trial design,高頻話題字,科技,passive,原型,
redundant,adj.,Automation has made several checking jobs redundant.,make workers redundant; become redundant; a redundant system,"red-(回) + und(波浪, 同 abundant/inundate) + -ant → 一波波多出來 → 多餘",unnecessary; superfluous; surplus; no longer needed,高頻話題字,科技,passive,多餘的、被裁的,
connectivity,n.,Poor connectivity still limits what rural schools can offer.,internet connectivity; poor connectivity; global connectivity,"con-(一起) + nect(綁, 同 connect/annex) + -ivity → 綁在一起的程度",network access; internet access; linkage,高頻話題字,科技,passive,連線能力,
reliance,n.,Our reliance on a single search engine worries competition regulators.,heavy reliance on; growing reliance; reduce reliance on,"re-(回) + li(綁, 同 rely/ligament/liable) + -ance → 把自己綁回去靠著",dependence; dependency; need for,高頻話題字,科技,passive,依賴,
upgrade,v.,Users are pushed to upgrade their phones long before they stop working.,upgrade a system; upgrade to a newer model; a free upgrade,"up(向上) + grade(等級, 同 gradual/degree) → 往上換一個等級",improve; modernise; update; enhance,高頻話題字,科技,passive,升級,
cutting-edge,adj.,The hospital uses cutting-edge imaging equipment to detect tumours early.,cutting-edge technology; cutting-edge research; at the cutting edge of,cutting edge(刀刃最前緣) → 走在最前面的,state-of-the-art; advanced; leading; pioneering,高頻話題字,科技,passive,尖端的,
obesity,n.,Childhood obesity has doubled in urban areas over the past twenty years.,childhood obesity; obesity rates; tackle obesity,拉丁 obesus「吃過頭而胖」(ob- 完全 + edere 吃) + -ity → 肥胖的狀態,excess weight; being overweight; corpulence,高頻話題字,健康,passive,肥胖（症）,
deteriorate,v.,Air quality in the capital has deteriorated sharply since 2010.,deteriorate rapidly; conditions deteriorate; deteriorating health,拉丁 deterior「更壞」+ -ate → 變得更壞,worsen; decline; degenerate; get worse,高頻話題字,健康,passive,惡化,Task 1 描述下降趨勢也可用
constraint,n.,Budget constraints forced the hospital to postpone the new wing.,financial constraints; time constraints; impose constraints,"con-(一起) + strain/strict(拉緊, 同 restrict/strain) → 綁緊 → 限制",limitation; restriction; restraint; barrier,高頻話題字,健康,passive,限制、約束,
sedentary,adj.,A sedentary lifestyle raises the risk of heart disease considerably.,a sedentary lifestyle; sedentary work; increasingly sedentary,"sed(坐, 同 sediment 沉積物/session/reside) + -ary → 一直坐著的",inactive; desk-bound; physically inactive,高頻話題字,健康,passive,久坐不動的,
life expectancy,n. phr.,Average life expectancy has risen by almost ten years since 1980.,average life expectancy; life expectancy at birth; raise life expectancy,"expect(期待, ex- 出去 + spect 看 → 往外看著等) → 預期能活多久",lifespan; longevity; average age at death,高頻話題字,健康,passive,平均壽命,
longevity,n.,Researchers link longevity to strong social ties as much as to diet.,increased longevity; the secret of longevity; longevity in old age,"long(長) + ev(年歲, 拉丁 aevum 時代, 同 eternal/medieval) + -ity → 長的年歲",long life; lifespan; living to an old age,高頻話題字,健康,passive,長壽,
well-being,n.,Flexible hours improved staff well-being more than a pay rise did.,mental well-being; improve well-being; a sense of well-being,well(好) + being(存在的狀態) → 整體活得好的狀態,welfare; quality of life; wellness,高頻話題字,健康,passive,身心健康,
epidemic,n.,Doctors describe rising diabetes rates as a slow-moving epidemic.,an obesity epidemic; reach epidemic levels; contain an epidemic,"epi-(在…之上, 同 epicentre) + dem(人民, 同 democracy/demographic) → 落在人民身上的",outbreak; widespread disease; plague,高頻話題字,健康,passive,流行病,
vaccination,n.,Vaccination rates fell in districts where clinics had closed.,mass vaccination; vaccination rates; a vaccination programme,拉丁 vacca「牛」→ 最早的疫苗來自牛痘 → 接種,immunisation; inoculation; jab,高頻話題字,健康,passive,疫苗接種,
sanitation,n.,Poor sanitation remains the main cause of disease in the camps.,poor sanitation; access to sanitation; basic sanitation,"sanit(健康, 拉丁 sanus, 同 sane/sanitary) + -ation → 讓環境變健康",hygiene; waste management; cleanliness,高頻話題字,健康,passive,衛生設施,
malnutrition,n.,One child in eight still suffers from malnutrition in the region.,suffer from malnutrition; childhood malnutrition; chronic malnutrition,"mal-(壞, 同 malfunction/malicious) + nutrition(營養) → 營養不良",undernourishment; poor nutrition; food deficiency,高頻話題字,健康,passive,營養不良,
hygiene,n.,Simple hand hygiene prevents a surprising number of infections.,personal hygiene; food hygiene; poor hygiene,源自希臘健康女神 Hygieia 的名字 → 保持健康的做法,cleanliness; sanitation,高頻話題字,健康,passive,衛生,
preventive,adj.,Spending on preventive care saves far more than it costs.,preventive care; preventive measures; preventive medicine,"pre-(事先) + vent(來, 同 event/invent/adventure) + -ive → 在事情來之前先擋住",precautionary; protective; pre-emptive,高頻話題字,健康,passive,預防性的,
therapy,n.,Talking therapy is now offered before medication in mild cases.,undergo therapy; physical therapy; talking therapy,希臘 therapeia「照料、伺候」→ 治療,treatment; rehabilitation; counselling,高頻話題字,健康,passive,治療、療法,
symptom,n.,Treating the symptoms does nothing about the underlying cause.,show symptoms; early symptoms; treat the symptoms,"sym-(一起, 同 sympathy/symmetry) + ptom(落下, 同 asymptote) → 一起出現的現象",sign; indication; manifestation,高頻話題字,健康,passive,症狀,
outbreak,n.,An outbreak of food poisoning closed the canteen for a week.,an outbreak of; contain an outbreak; a major outbreak,out(向外) + break(爆開) → 突然爆出來,epidemic; flare-up; sudden spread,高頻話題字,健康,passive,爆發,
insomnia,n.,Shift workers report insomnia far more often than office staff.,suffer from insomnia; chronic insomnia; cause insomnia,"in-(不) + somn(睡, 拉丁 somnus, 同 somnolent) + -ia(病症) → 睡不著",sleeplessness; sleep problems; difficulty sleeping,高頻話題字,健康,passive,失眠,
addiction,n.,Smartphone addiction is now treated in some clinics as a genuine disorder.,treat addiction; addiction to sugar; screen addiction,"ad-(朝向) + dict(說, 同 dictate/predict；羅馬法把債務人「判給」債主) + -ion → 被判給某物",dependency; compulsion; craving,高頻話題字,健康,passive,成癮,
immune,adj.,A poor diet gradually weakens the immune system.,the immune system; immune to infection; boost immune defences,"im-(不) + mun(義務, 同 municipal/community/commune) → 免除義務 → 免疫",resistant; protected; not susceptible,高頻話題字,健康,passive,免疫的,
moderation,n.,Most nutritionists say sugar is fine in moderation.,in moderation; practise moderation; a message of moderation,"mod(尺度, 同 mode/model/modest) + -ation → 守著分寸",restraint; balance; self-control,高頻話題字,健康,passive,適量、節制,
congestion,n.,Congestion charges have cut traffic in the city centre by a fifth.,traffic congestion; ease congestion; severe congestion,"con-(一起) + gest(攜帶, 同 digest/gesture/suggest) + -ion → 全擠在一起",overcrowding; gridlock; traffic jams; bottlenecks,高頻話題字,都市化,passive,壅塞,
overpopulation,n.,Overpopulation puts enormous strain on housing and water supplies.,the problem of overpopulation; urban overpopulation; caused by overpopulation,over-(超過) + population(人口) → 人口超過負荷,excessive population; overcrowding; population pressure,高頻話題字,都市化,passive,人口過多,
overcrowding,n.,Overcrowding on commuter trains has worsened every year since 2015.,severe overcrowding; ease overcrowding; overcrowding in schools,over-(超過) + crowd(擠) → 擠過了頭,congestion; excessive density; crush,高頻話題字,都市化,passive,過度擁擠,
commute,v.,Nearly half the workforce commutes for more than an hour each way.,commute to work; a long commute; daily commuting,"com-(一起) + mut(改變, 同 mutate/mutual) → 原指把單程票「換算」成月票 → 通勤",travel to work; make the journey to work,高頻話題字,都市化,passive,通勤,
suburb,n.,Families priced out of the centre have moved to the outer suburbs.,the outer suburbs; live in the suburbs; a leafy suburb,"sub-(在下、靠近) + urb(城市, 同 urban/urbane) → 城市旁邊那一圈",outskirts; residential area; commuter belt,高頻話題字,都市化,passive,郊區,
urban sprawl,n. phr.,Green belts were introduced to limit urban sprawl around large cities.,limit urban sprawl; uncontrolled urban sprawl; the effects of urban sprawl,sprawl(四肢攤開) → 城市毫無節制地往外攤開,unplanned expansion; suburban spread; uncontrolled growth,高頻話題字,都市化,passive,都市擴張,
affordable housing,n. phr.,The shortage of affordable housing has pushed young people out of the city.,a shortage of affordable housing; build affordable housing; affordable housing schemes,"afford(負擔得起, 古英語 geforthian 提供) + -able → 負擔得起的住宅",low-cost housing; social housing; subsidised housing,高頻話題字,都市化,passive,平價住宅,
high-rise,adj.,Most new homes in the district are in high-rise blocks.,high-rise blocks; a high-rise development; live in a high-rise,high(高) + rise(升起) → 蓋得很高的,multi-storey; tower-block; tall,高頻話題字,都市化,passive,高層的,
pedestrian,n.,The council closed the street to cars and gave it back to pedestrians.,pedestrian zones; pedestrian safety; pedestrian crossings,"ped(腳, 同 pedal/pedicure/centipede) + -ian → 用腳走路的人",person on foot; walker; foot traffic,高頻話題字,都市化,passive,行人,
rush hour,n. phr.,Journey times almost double during the morning rush hour.,during rush hour; avoid rush hour; rush-hour traffic,rush(衝) + hour → 大家一起衝的那個時段,peak time; peak hours; the busy period,高頻話題字,都市化,passive,尖峰時段,
migration,n.,Rural-to-urban migration has added two million people to the city.,rural-to-urban migration; internal migration; mass migration,"migr(遷移, 拉丁 migrare, 同 migrate/emigrate/immigrant) + -ation → 整群搬動",movement of people; relocation; influx,高頻話題字,都市化,passive,遷徙,
gentrification,n.,Gentrification has pushed long-standing residents out of the neighbourhood.,rapid gentrification; the gentrification of the district; resist gentrification,"gentry(仕紳階級, 同 gentle 原意「出身好的」) → 變成仕紳住的地方",upmarket redevelopment; social upgrading,高頻話題字,都市化,passive,仕紳化,
slum,n.,More than a billion people worldwide still live in slums.,live in slums; slum clearance; slum conditions,十九世紀倫敦俚語，指城市裡潮濕陰暗的後巷 → 貧民區,shanty town; informal settlement; deprived area,高頻話題字,都市化,passive,貧民窟,
amenities,n.,The estate was built with almost no local amenities within walking distance.,local amenities; basic amenities; leisure amenities,拉丁 amoenus「令人愉快的」+ -ity → 讓生活舒服的設施,facilities; services; conveniences,高頻話題字,都市化,passive,生活機能設施,
density,n.,Population density in the old quarter is five times the city average.,population density; high-density housing; urban density,"dens(濃密, 拉丁 densus) + -ity → 擠的程度",concentration; crowding level; compactness,高頻話題字,都市化,passive,密度,
regeneration,n.,Urban regeneration turned the derelict docks into a cultural quarter.,urban regeneration; a regeneration scheme; regeneration projects,"re-(再) + gener(生, 同 generate/genesis/generation) + -ation → 讓地方再生一次",renewal; redevelopment; revitalisation,高頻話題字,都市化,passive,都市再生,
green space,n. phr.,Access to green space measurably improves residents' mental health.,access to green space; preserve green space; public green space,green(綠) + space(空間) → 城市裡留下來的綠地,parkland; open space; recreational area,高頻話題字,都市化,passive,綠地,
cost of living,n. phr.,The rising cost of living has driven graduates back to their home towns.,the rising cost of living; a high cost of living; the cost of living crisis,cost(花費) + living(過日子) → 過日子要花的錢,living expenses; household costs,高頻話題字,都市化,passive,生活成本,
relocate,v.,Several firms relocated to the suburbs when city rents doubled.,relocate to the suburbs; relocate residents; relocate the factory,"re-(再) + loc(地方, 同 location/local) + -ate → 換到另一個位置",move; resettle; transfer; shift,高頻話題字,都市化,passive,搬遷,
utilities,n.,Rent looks cheap until you add utilities and travel costs.,utility bills; pay for utilities; essential utilities,"util(有用, 拉丁 uti 使用, 同 use/utilise) + -ity → 水電瓦斯這類有用的基礎服務",public services; water and power; basic services,高頻話題字,都市化,passive,水電等公用事業,
surveillance,n.,Critics argue that mass surveillance erodes personal privacy.,CCTV surveillance; under surveillance; mass surveillance,"sur-(在上面) + veill(看守, 拉丁 vigilare, 同 vigilant/vigil) + -ance → 在上面盯著看",monitoring; observation; watching,高頻話題字,犯罪,passive,監控,
deterrent,n.,Heavier fines act as a deterrent to dangerous driving.,act as a deterrent; an effective deterrent; a strong deterrent,"de-(離開) + terr(恐懼, 同 terror/terrify) + -ent → 讓人因害怕而退開的東西",disincentive; discouragement; check; restraint,高頻話題字,犯罪,passive,嚇阻手段,
rehabilitation,n.,Prisons that focus on rehabilitation report lower reoffending rates.,offender rehabilitation; a rehabilitation programme; focus on rehabilitation,"re-(再) + habilit(能力, 同 ability/able) + -ation → 讓能力回到身上",reform; reintegration; retraining,高頻話題字,犯罪,passive,更生、復健,
reoffend,v.,Young offenders who find work are far less likely to reoffend.,likely to reoffend; reoffending rates; stop them reoffending,re-(再) + offend(冒犯、犯罪) → 再犯一次,commit further offences; relapse into crime,高頻話題字,犯罪,passive,再犯,
custodial sentence,n. phr.,First-time offenders rarely receive a custodial sentence for this offence.,receive a custodial sentence; a lengthy custodial sentence; avoid a custodial sentence,"custod(看守, 同 custody/custodian) + -ial → 要被看管起來的刑罰",prison sentence; jail term; imprisonment,高頻話題字,犯罪,passive,有期徒刑,
petty crime,n. phr.,Better street lighting cut petty crime in the neighbourhood by a third.,tackle petty crime; petty crime rates; a rise in petty crime,petty 來自法文 petit「小」→ 輕微的犯罪,minor offences; low-level crime; small-scale crime,高頻話題字,犯罪,passive,輕微犯罪,
vandalism,n.,Repairing vandalism costs the council millions every year.,acts of vandalism; mindless vandalism; prevent vandalism,源自洗劫羅馬的日耳曼部族 Vandals（汪達爾人）→ 蓄意破壞,criminal damage; defacement; wilful damage,高頻話題字,犯罪,passive,破壞公物,
fraud,n.,Online fraud now costs consumers more than street theft does.,commit fraud; online fraud; a fraud investigation,拉丁 fraus「欺騙」→ 用詐術取得財物,deception; scam; swindle; cheating,高頻話題字,犯罪,passive,詐欺,
burglary,n.,Burglary fell steadily after the neighbourhood watch scheme started.,report a burglary; burglary rates; a burglary attempt,"burg(城堡、城鎮, 同 borough/burgher) → 闖進人家的屋子偷竊",break-in; housebreaking; robbery,高頻話題字,犯罪,passive,闖空門,
community service,n. phr.,He was sentenced to two hundred hours of community service.,sentenced to community service; carry out community service; community service orders,community(社區) + service(服務) → 用勞務回饋社區來抵刑,unpaid work; a community sentence,高頻話題字,犯罪,passive,社區服務（刑）,
parole,n.,She was released on parole after serving half her sentence.,released on parole; be granted parole; a parole board,法文 parole「話語」→ 以「承諾」（口頭保證）換取提早釋放,conditional release; early release,高頻話題字,犯罪,passive,假釋,
prosecute,v.,Companies that dump waste illegally are rarely prosecuted.,prosecute offenders; be prosecuted for; decide to prosecute,"pro-(向前) + secut(跟隨, 同 sequence/pursue/consecutive) → 一路追訴到底",take to court; charge; bring to trial,高頻話題字,犯罪,passive,起訴,
juvenile,adj.,Juvenile offenders are dealt with in a separate court system.,juvenile crime; juvenile offenders; a juvenile court,"juven(年輕, 拉丁 juvenis, 同 junior/rejuvenate) + -ile → 年少的",youth; underage; young,高頻話題字,犯罪,passive,青少年的,
corruption,n.,Corruption in the licensing system was exposed by a whistleblower.,political corruption; tackle corruption; corruption scandals,"cor-(完全) + rupt(破裂, 同 rupture/disrupt/erupt) + -ion → 整個爛掉",bribery; dishonesty; graft; malpractice,高頻話題字,犯罪,passive,貪腐,
offence,n.,Driving without insurance is a criminal offence in most countries.,a criminal offence; commit an offence; a minor offence,"of-(朝向) + fend(打, 同 defend/fend off) + -ence → 打到別人 → 冒犯、違法行為",crime; violation; breach; wrongdoing,高頻話題字,犯罪,passive,罪行,
victim,n.,Support services for victims of crime remain badly underfunded.,victims of crime; support victims; fall victim to,拉丁 victima「祭品」→ 被犧牲掉的人,casualty; injured party; sufferer,高頻話題字,犯罪,passive,受害者,
incarceration,n.,Mass incarceration has proved expensive and largely ineffective.,mass incarceration; the cost of incarceration; rates of incarceration,"in-(進入) + carcer(監獄, 拉丁 carcer) + -ation → 關進牢裡",imprisonment; jailing; detention,高頻話題字,犯罪,passive,監禁,
patrol,n.,Regular police patrols reassured residents more than cameras did.,police patrols; patrol the streets; step up patrols,法文 patrouiller「在泥裡踩來踩去」→ 來回走動巡查,police presence; round; watch,高頻話題字,犯罪,passive,巡邏,
law-abiding,adj.,Blanket surveillance treats law-abiding citizens as suspects.,law-abiding citizens; a law-abiding society; otherwise law-abiding,"law(法律) + abide(遵守, 古英語 abidan 停留) → 待在法律範圍裡",honest; compliant; respectable,高頻話題字,犯罪,passive,守法的,
penalty,n.,Stiffer penalties alone have never been shown to reduce crime.,stiff penalties; impose a penalty; the maximum penalty,"pen(懲罰, 拉丁 poena, 同 punish/penal/pain) + -alty → 罰則",punishment; sanction; fine,高頻話題字,犯罪,passive,刑罰、罰則,
undermine,v.,The spread of misinformation undermines public trust in journalism.,undermine confidence; undermine authority; undermine efforts,under(下面) + mine(挖礦) → 在底下挖坑 → 動搖根基,weaken; erode; damage; compromise,高頻話題字,媒體,passive,逐漸削弱,
impartial,adj.,Public broadcasters are expected to remain impartial during elections.,remain impartial; impartial coverage; an impartial observer,"im-(不) + partial(偏袒的, part 部分 → 站在某一部分那邊) → 不偏任何一邊",unbiased; neutral; objective; even-handed,高頻話題字,媒體,passive,公正的,
tabloid,n.,The story was splashed across every tabloid the following morning.,the tabloid press; tabloid headlines; a tabloid newspaper,tablet(小藥片) 的商標名 → 把新聞壓縮成小份、好吞的形式,popular press; red-top; sensational paper,高頻話題字,媒體,passive,小報,
censorship,n.,State censorship makes it impossible to verify what really happened.,state censorship; impose censorship; media censorship,"cens(評定, 羅馬的 censor 監察官負責審查風紀) + -ship → 審查制度",suppression; control of information; blocking,高頻話題字,媒體,passive,審查制度,
coverage,n.,The election received far more coverage online than on television.,media coverage; extensive coverage; biased coverage,cover(覆蓋) + -age → 報導所「蓋到」的範圍,reporting; media attention; treatment,高頻話題字,媒體,passive,報導（量）,
credibility,n.,The paper lost credibility after publishing the story without checking it.,lose credibility; damage credibility; the credibility of a source,"cred(相信, 同 credit/incredible/creed) + -ibility → 可以被相信的程度",trustworthiness; reliability; believability,高頻話題字,媒體,passive,可信度,
sensationalism,n.,Competition for clicks has encouraged sensationalism over accuracy.,media sensationalism; accused of sensationalism; tabloid sensationalism,"sens(感覺, 同 sense/sensation) + -ation + -ism → 一味追求刺激感受",hype; exaggeration; scaremongering,高頻話題字,媒體,passive,煽情報導,
propaganda,n.,Wartime propaganda was designed to keep morale high at home.,state propaganda; spread propaganda; a propaganda campaign,拉丁 propagare「繁殖、散播」(同 propagate) → 把某套觀念大量散出去,political messaging; indoctrination; spin,高頻話題字,媒體,passive,政治宣傳,
clickbait,n.,Headlines written as clickbait rarely deliver what they promise.,clickbait headlines; rely on clickbait; pure clickbait,click(點擊) + bait(誘餌) → 專門引你上鉤的餌,sensational headlines; attention-grabbing content,高頻話題字,媒體,passive,點擊誘餌,
echo chamber,n. phr.,Recommendation systems can trap users in an echo chamber of similar views.,an online echo chamber; trapped in an echo chamber; create echo chambers,echo(回音) + chamber(房間) → 只聽得到自己聲音回彈的房間,filter bubble; closed information loop,高頻話題字,媒體,passive,同溫層,
outlet,n.,Independent news outlets struggle to compete with social platforms.,a news outlet; mainstream outlets; independent outlets,"out(外) + let(讓出, 同 let) → 讓內容流出來的出口",media organisation; publication; channel,高頻話題字,媒體,passive,媒體機構,
subscription,n.,Digital subscriptions now bring in more revenue than print advertising.,a digital subscription; cancel a subscription; subscription numbers,"sub-(在下) + script(寫, 同 script/describe/manuscript) + -ion → 在文件底下簽名訂閱",membership; paid access,高頻話題字,媒體,passive,訂閱,
viral,adj.,The clip went viral before anyone checked whether it was genuine.,go viral; a viral video; viral marketing,virus(病毒) + -al → 像病毒一樣一傳十十傳百,rapidly shared; widely circulated,高頻話題字,媒體,passive,爆紅的,
influencer,n.,Brands now spend more on influencers than on television advertising.,social media influencers; influencer marketing; a beauty influencer,"in-(進入) + flu(流, 同 fluent/fluid/fluctuate) + -ence + -er → 讓想法「流進」別人腦中的人",content creator; opinion leader,高頻話題字,媒體,passive,網紅,
defamation,n.,The politician sued the magazine for defamation and won.,sue for defamation; a defamation case; defamation laws,"de-(去除) + fam(名聲, 同 fame/famous/infamous) + -ation → 把名聲拿掉",libel; slander; character attack,高頻話題字,媒體,passive,誹謗,
editorial,n.,The paper ran an editorial calling for the minister to resign.,an editorial line; editorial independence; write an editorial,"edit(拿出來發表, 拉丁 edere 產出, 同 edition) + -orial → 代表報社立場的文章",opinion piece; leader; commentary,高頻話題字,媒體,passive,社論,
scrutiny,n.,Social media companies are finally coming under serious scrutiny.,public scrutiny; come under scrutiny; close scrutiny,拉丁 scrutari「翻找破爛」(scruta 廢棄物) → 一件一件翻出來查,close examination; inspection; oversight,高頻話題字,媒體,passive,嚴格審視,
circulation,n.,The magazine's circulation halved within five years of going online.,falling circulation; boost circulation; a circulation of,"circul(圓圈, 同 circle/circuit) + -ation → 一份份流通出去的量",readership; distribution; sales figures,高頻話題字,媒體,passive,發行量,
anonymity,n.,Online anonymity protects whistleblowers but also shields abusers.,online anonymity; protect anonymity; the anonymity of the internet,"an-(沒有) + onym(名字, 同 synonym/pseudonym/acronym) + -ity → 沒有名字的狀態",namelessness; concealed identity,高頻話題字,媒體,passive,匿名,
accountability,n.,Readers are demanding greater accountability from the platforms they use.,demand accountability; media accountability; public accountability,"account(交代, 原意「計算」) + -ability → 要能交代清楚的責任",answerability; responsibility; transparency,高頻話題字,媒體,passive,問責,
soar,v.,House prices soared by almost 40 per cent between 2015 and 2020.,soar to a record high; prices soared; soaring demand,古法文 essorer 讓鳥乘風高飛 → 像鳥一樣往上衝,rocket; surge; shoot up; climb sharply,Task1圖表用語,上升,active,飆升,只用在幅度很大的上升，小幅上升用 rise / edge up
surge,n.,The chart shows a sharp surge in online orders after 2018.,a surge in demand; a sudden surge; surge to a peak,"sur-(從下往上) + reg(升起, 同 erect/regent) → 像浪一樣湧上來",a sharp rise; a jump; a leap; an upswing,Task1圖表用語,上升,active,激增,
climb,v.,Car ownership climbed steadily throughout the twenty-year period.,climb steadily; climb to a peak; figures climbed,古英語 climban 攀爬 → 一階一階往上,rise; increase; go up; ascend,Task1圖表用語,上升,active,攀升,
escalate,v.,Waste production escalated rapidly once the population passed one million.,escalate rapidly; costs escalated; escalating figures,escalator(手扶梯) 的動詞化 → 像手扶梯一樣持續往上,increase sharply; mount; intensify; spiral,Task1圖表用語,上升,active,急遽上升,
edge up,phr v.,Unemployment edged up slightly in the final two years of the period.,edge up slightly; figures edged up; edge up to,edge(邊緣) + up → 只往上挪一個邊的距離 → 微幅上升,rise slightly; creep up; inch up,Task1圖表用語,上升,active,微幅上升,
plummet,v.,Newspaper sales plummeted from 12 million to under 4 million copies.,plummet to a low; sales plummeted; plummeting numbers,"plumb(鉛錘, 同 plumber 水管工原本用鉛錘測垂直) → 像鉛錘一樣直直落下",plunge; nosedive; drop sharply; tumble,Task1圖表用語,下降,active,暴跌,
plunge,v.,Visitor numbers plunged by half after the border closed.,plunge by half; plunge to a record low; a dramatic plunge,plumb(鉛錘) 的另一支 → 整個人跳進水裡 → 猛然下墜,plummet; dive; fall sharply; slump,Task1圖表用語,下降,active,驟降,
decline,n.,There was a steady decline in coal consumption across the whole period.,a steady decline; a sharp decline; a decline in numbers,"de-(向下) + clin(傾斜, 同 incline/recline/climate) → 向下傾",fall; drop; decrease; downturn,Task1圖表用語,下降,active,下降,名詞動詞都可用；a decline in 後面接名詞　｜　AWL Sublist 5
dip,v.,Sales dipped briefly in 2012 before recovering the following year.,dip slightly; a slight dip; dip below,古英語 dyppan 浸一下 → 短暫沉下去又起來,fall slightly; drop briefly; ease,Task1圖表用語,下降,active,微幅下滑,指短暫下降後回升，不是持續下跌
slump,n.,The graph shows a slump in manufacturing output during the recession.,a slump in sales; an economic slump; slump to a low,擬聲字，東西「噗通」塌下去的聲音 → 突然垮掉,sharp fall; downturn; collapse; plunge,Task1圖表用語,下降,active,驟跌、低迷,
dwindle,v.,Fish stocks dwindled steadily as commercial fishing expanded.,dwindle steadily; dwindling numbers; dwindle to almost nothing,古英語 dwinan 枯萎 → 一點一點縮小到幾乎沒有,shrink; diminish; decrease gradually; taper off,Task1圖表用語,下降,active,逐漸減少,
plateau,v.,"After a sharp rise, the figure plateaued at around 60 per cent.",plateau at; reach a plateau; plateau after 2010,"法文 plat(平的, 同 plate/plain) → 高原 → 走成平的一段",level off; stabilise; flatten out; remain steady,Task1圖表用語,穩定,active,趨於平穩,名詞、動詞都可用；plateau at + 數值
